arc_length,t100,t50,q50,q100
0,0,-1.6932e-36,0,0
0.0070711,1.4727e-38,5.9111e-22,-4.137e-15,1.5351e-23
0.014142,3.3592e-37,1.1822e-21,-3.645e-15,-3.6491e-23
0.021213,-2.6469e-37,1.1955e-20,-2.3604e-15,-6.1498e-22
0.028284,-4.1495e-36,2.3206e-20,-2.8319e-16,-1.2575e-21
0.035355,-1.4445e-35,7.4771e-21,2.0316e-14,1.3342e-21
0.042426,-2.2554e-35,-5.7653e-20,3.7812e-14,5.6209e-21
0.049497,1.0475e-34,-1.2271e-19,5.2204e-14,8.7177e-21
0.056569,4.6039e-34,-3.1569e-19,6.3494e-14,6.8866e-21
0.06364,7.0019e-34,-5.6929e-19,1.5088e-14,-4.3869e-20
0.070711,-5.3849e-33,-8.2288e-19,-2.1937e-14,-1.0727e-19
0.077782,-1.3968e-32,-1.3768e-19,-4.758e-14,-2.3606e-20
0.084853,-2.4353e-32,5.6514e-19,-6.1841e-14,1.6217e-19
0.091924,7.4367e-32,5.0249e-18,-1.0702e-13,6.2238e-19
0.098995,2.7498e-31,1.0095e-17,-2.6202e-13,9.9313e-19
0.10607,6.0514e-31,1.3557e-17,-5.2684e-13,-9.9823e-19
0.11314,-8.2927e-31,-7.4277e-18,-9.015e-13,-3.9665e-18
0.12021,-8.3517e-30,-2.8413e-17,-1.5135e-12,-4.9429e-18
0.12728,-9.9175e-30,-4.9749e-17,-1.6639e-12,-2.873e-18
0.13435,9.1084e-30,-1.0559e-16,-1.3527e-12,1.9396e-17
0.14142,1.1187e-28,-1.6148e-16,-5.7986e-13,4.5283e-17
0.14849,3.9104e-28,-9.849e-17,8.9307e-12,1.3998e-17
0.15556,-1.1905e-28,8.7364e-17,1.9606e-11,-5.2742e-17
0.16263,-2.6341e-27,4.4286e-16,3.1445e-11,-1.9959e-16
0.16971,-7.6979e-27,9.9434e-16,4.4449e-11,-3.1406e-16
0.17678,-1.4439e-26,1.5458e-15,8.3725e-12,1.9245e-16
0.18385,1.3492e-25,-3.2561e-17,-4.9249e-11,9.3757e-16
0.19092,1.9821e-25,-3.097e-15,-1.2842e-10,1.331e-15
0.19799,1.4257e-25,-6.1614e-15,-2.2913e-10,1.0811e-15
0.20506,-8.6524e-25,-9.3276e-15,-2.7838e-10,-3.3403e-15
0.21213,-4.3213e-24,-1.2223e-14,-2.3023e-10,-8.5314e-15
0.2192,-3.7911e-24,-1.5119e-14,-8.4679e-11,-5.2151e-15
0.22627,1.4638e-23,4.74e-15,1.5827e-10,3.7411e-15
0.23335,3.9747e-23,4.3915e-14,1.198e-09,2.9441e-14
0.24042,6.5123e-23,8.3089e-14,2.1773e-09,5.2381e-14
0.24749,-7.2355e-23,8.0895e-14,3.0959e-09,-8.358e-16
0.25456,-3.5809e-22,5.8259e-14,3.9541e-09,-8.5872e-14
0.26163,-8.7448e-22,3.4936e-14,7.9626e-11,-1.8049e-13
0.2687,1.4571e-22,-5.195e-13,-5.3476e-09,-2.1875e-13
0.27577,3.5426e-21,-1.1375e-12,-1.2328e-08,1.9407e-13
0.28284,8.8364e-21,-1.7555e-12,-2.0861e-08,7.2031e-13
0.28991,-1.1529e-21,-2.2165e-12,-2.3624e-08,8.092e-13
0.29698,-3.6347e-20,2.6408e-12,-1.8939e-08,4.6485e-13
0.30406,-8.5818e-20,8.3088e-12,-6.8057e-09,-1.7844e-12
0.31113,-2.8974e-21,1.3977e-11,1.2777e-08,-4.1478e-12
0.3182,2.8265e-19,1.091e-11,9.0208e-08,-2.4342e-12
0.32527,7.7791e-19,1.006e-12,1.6662e-07,1.553e-12
0.33234,4.5307e-19,-8.8974e-12,2.4201e-07,1.0661e-11
0.33941,-2.335e-18,-6.441e-11,3.1639e-07,1.7897e-11
0.34648,-7.5038e-18,-1.4986e-10,1.1635e-07,1.2253e-12
0.35355,1.5121e-18,-2.3531e-10,-1.9424e-07,-2.4124e-11
0.36062,1.9433e-17,-2.1401e-10,-6.1538e-07,-4.7024e-11
0.3677,5.7126e-17,-1.721e-10,-1.1471e-06,-5.026e-11
0.37477,4.247e-17,-4.5291e-11,-1.8116e-06,5.1862e-11
0.38184,-1.4861e-16,1.2615e-09,-2.2006e-06,1.6941e-10
0.38891,-2.6696e-16,2.7138e-09,-2.314e-06,1.159e-10
0.39598,1.5687e-16,4.0433e-09,-2.1518e-06,-7.6871e-11
0.40305,6.4702e-16,1.6831e-09,1.9649e-06,-5.4912e-10
0.41012,-6.0532e-16,-6.7716e-10,7.0196e-06,-8.5743e-10
0.41719,-5.2488e-15,-3.0374e-09,1.3012e-05,6.6956e-10
0.42426,-1.0393e-14,-1.6974e-08,1.9943e-05,3.0417e-09
0.43134,4.0065e-14,-3.5291e-08,2.2915e-05,4.2447e-09
0.43841,7.3425e-14,-5.329e-08,2.1556e-05,2.5503e-09
0.44548,4.2452e-14,-4.3449e-08,1.5866e-05,-1.5138e-08
0.45255,-4.643e-13,1.0028e-07,5.8446e-06,-3.747e-08
0.45962,-1.23e-12,2.2914e-07,-4.4543e-05,-3.1373e-08
0.46669,-1.6609e-12,3.5799e-07,-0.00010198,6.3116e-09
0.47376,6.9128e-12,6.3573e-07,-0.00016647,1.7825e-07
0.48083,1.4998e-11,7.5874e-07,-0.00023801,3.779e-07
0.4879,2.1063e-12,8.426e-07,-0.00025719,2.7657e-07
0.49497,-8.223e-11,3.8166e-07,-0.00023511,-1.0938e-07
0.50205,-2.3239e-10,-1.4027e-06,-0.00017175,-1.654e-06
0.50912,-3.9875e-10,-3.7314e-06,-6.7121e-05,-3.4542e-06
0.51619,1.0936e-09,-7.3446e-06,0.00039835,-3.0763e-06
0.52326,3.2768e-09,-1.2904e-05,0.00093502,-5.3246e-07
0.53033,5.9645e-09,-1.6449e-05,0.0015429,1.1965e-05
0.5374,-5.8342e-09,-1.1778e-05,0.002222,2.7558e-05
0.54447,-3.3353e-08,-5.4013e-06,0.0027126,3.4468e-05
0.55154,-7.1148e-08,3.8994e-05,0.0029619,2.8734e-05
