"T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
348.43,6.0127e-09,0,0,1e+05,1,0,-5,-1,-1
348.43,7.0744e-09,0,0,1e+05,1,0.01,-4.99,-1,-1
348.43,8.1361e-09,0,0,1e+05,1,0.02,-4.98,-1,-1
348.43,9.1978e-09,0,0,1e+05,1,0.03,-4.97,-1,-1
348.43,1.0259e-08,0,0,1e+05,1,0.04,-4.96,-1,-1
348.43,1.1321e-08,0,0,1e+05,1,0.05,-4.95,-1,-1
348.43,1.2383e-08,0,0,1e+05,1,0.06,-4.94,-1,-1
348.43,1.3445e-08,0,0,1e+05,1,0.07,-4.93,-1,-1
348.43,1.4506e-08,0,0,1e+05,1,0.08,-4.92,-1,-1
348.43,1.5568e-08,0,0,1e+05,1,0.09,-4.91,-1,-1
348.43,1.663e-08,0,0,1e+05,1,0.1,-4.9,-1,-1
348.43,2.1295e-08,0,0,1e+05,1,0.11,-4.89,-1,-1
348.43,2.5959e-08,0,0,1e+05,1,0.12,-4.88,-1,-1
348.43,3.0624e-08,0,0,1e+05,1,0.13,-4.87,-1,-1
348.43,3.5289e-08,0,0,1e+05,1,0.14,-4.86,-1,-1
348.43,3.9954e-08,0,0,1e+05,1,0.15,-4.85,-1,-1
348.43,4.4619e-08,0,0,1e+05,1,0.16,-4.84,-1,-1
348.43,4.9284e-08,0,0,1e+05,1,0.17,-4.83,-1,-1
348.43,5.3948e-08,0,0,1e+05,1,0.18,-4.82,-1,-1
348.43,5.8613e-08,0,0,1e+05,1,0.19,-4.81,-1,-1
348.43,6.3278e-08,0,0,1e+05,1,0.2,-4.8,-1,-1
348.43,7.9769e-08,0,0,1e+05,1,0.21,-4.79,-1,-1
348.43,9.6259e-08,0,0,1e+05,1,0.22,-4.78,-1,-1
348.43,1.1275e-07,0,0,1e+05,1,0.23,-4.77,-1,-1
348.43,1.2924e-07,0,0,1e+05,1,0.24,-4.76,-1,-1
348.43,1.4573e-07,0,0,1e+05,1,0.25,-4.75,-1,-1
348.43,1.6222e-07,0,0,1e+05,1,0.26,-4.74,-1,-1
348.43,1.7871e-07,0,0,1e+05,1,0.27,-4.73,-1,-1
348.43,1.952e-07,0,0,1e+05,1,0.28,-4.72,-1,-1
348.43,2.1169e-07,0,0,1e+05,1,0.29,-4.71,-1,-1
348.43,2.2818e-07,0,0,1e+05,1,0.3,-4.7,-1,-1
348.43,2.857e-07,0,0,1e+05,1,0.31,-4.69,-1,-1
348.43,3.4323e-07,0,0,1e+05,1,0.32,-4.68,-1,-1
348.43,4.0075e-07,0,0,1e+05,1,0.33,-4.67,-1,-1
348.43,4.5827e-07,0,0,1e+05,1,0.34,-4.66,-1,-1
348.43,5.1579e-07,0,0,1e+05,1,0.35,-4.65,-1,-1
348.43,5.7332e-07,0,0,1e+05,1,0.36,-4.64,-1,-1
348.43,6.3084e-07,0,0,1e+05,1,0.37,-4.63,-1,-1
348.43,6.8836e-07,0,0,1e+05,1,0.38,-4.62,-1,-1
348.43,7.4588e-07,0,0,1e+05,1,0.39,-4.61,-1,-1
348.43,8.034e-07,0,0,1e+05,1,0.4,-4.6,-1,-1
348.43,9.9838e-07,0,0,1e+05,1,0.41,-4.59,-1,-1
348.43,1.1934e-06,0,0,1e+05,1,0.42,-4.58,-1,-1
348.43,1.3883e-06,0,0,1e+05,1,0.43,-4.57,-1,-1
348.43,1.5833e-06,0,0,1e+05,1,0.44,-4.56,-1,-1
348.43,1.7783e-06,0,0,1e+05,1,0.45,-4.55,-1,-1
348.43,1.9733e-06,0,0,1e+05,1,0.46,-4.54,-1,-1
348.43,2.1682e-06,0,0,1e+05,1,0.47,-4.53,-1,-1
348.43,2.3632e-06,0,0,1e+05,1,0.48,-4.52,-1,-1
348.43,2.5582e-06,0,0,1e+05,1,0.49,-4.51,-1,-1
348.43,2.7532e-06,0,0,1e+05,1,0.5,-4.5,-1,-1
348.43,3.3954e-06,0,0,1e+05,1,0.51,-4.49,-1,-1
348.43,4.0375e-06,0,0,1e+05,1,0.52,-4.48,-1,-1
348.43,4.6798e-06,0,0,1e+05,1,0.53,-4.47,-1,-1
348.43,5.3219e-06,0,0,1e+05,1,0.54,-4.46,-1,-1
348.43,5.9641e-06,0,0,1e+05,1,0.55,-4.45,-1,-1
348.43,6.6063e-06,0,0,1e+05,1,0.56,-4.44,-1,-1
348.43,7.2485e-06,0,0,1e+05,1,0.57,-4.43,-1,-1
348.43,7.8907e-06,0,0,1e+05,1,0.58,-4.42,-1,-1
348.43,8.5329e-06,0,0,1e+05,1,0.59,-4.41,-1,-1
348.43,9.175e-06,0,0,1e+05,1,0.6,-4.4,-1,-1
348.43,1.1228e-05,0,0,1e+05,1,0.61,-4.39,-1,-1
348.43,1.3281e-05,0,0,1e+05,1,0.62,-4.38,-1,-1
348.43,1.5334e-05,0,0,1e+05,1,0.63,-4.37,-1,-1
348.43,1.7386e-05,0,0,1e+05,1,0.64,-4.36,-1,-1
348.43,1.9439e-05,0,0,1e+05,1,0.65,-4.35,-1,-1
348.43,2.1492e-05,0,0,1e+05,1,0.66,-4.34,-1,-1
348.43,2.3545e-05,0,0,1e+05,1,0.67,-4.33,-1,-1
348.43,2.5598e-05,0,0,1e+05,1,0.68,-4.32,-1,-1
348.43,2.7651e-05,0,0,1e+05,1,0.69,-4.31,-1,-1
348.43,2.9704e-05,0,0,1e+05,1,0.7,-4.3,-1,-1
348.43,3.6065e-05,0,0,1e+05,1,0.71,-4.29,-1,-1
348.43,4.2426e-05,0,0,1e+05,1,0.72,-4.28,-1,-1
348.43,4.8787e-05,0,0,1e+05,1,0.73,-4.27,-1,-1
348.43,5.5148e-05,0,0,1e+05,1,0.74,-4.26,-1,-1
348.43,6.151e-05,0,0,1e+05,1,0.75,-4.25,-1,-1
348.43,6.7871e-05,0,0,1e+05,1,0.76,-4.24,-1,-1
348.43,7.4232e-05,0,0,1e+05,1,0.77,-4.23,-1,-1
348.43,8.0594e-05,0,0,1e+05,1,0.78,-4.22,-1,-1
348.43,8.6955e-05,0,0,1e+05,1,0.79,-4.21,-1,-1
348.43,9.3316e-05,0,0,1e+05,1,0.8,-4.2,-1,-1
348.43,0.0001124,0,0,1e+05,1,0.81,-4.19,-1,-1
348.43,0.00013148,0,0,1e+05,1,0.82,-4.18,-1,-1
348.43,0.00015056,0,0,1e+05,1,0.83,-4.17,-1,-1
348.43,0.00016964,0,0,1e+05,1,0.84,-4.16,-1,-1
348.43,0.00018872,0,0,1e+05,1,0.85,-4.15,-1,-1
348.43,0.0002078,0,0,1e+05,1,0.86,-4.14,-1,-1
348.43,0.00022688,0,0,1e+05,1,0.87,-4.13,-1,-1
348.43,0.00024597,0,0,1e+05,1,0.88,-4.12,-1,-1
348.43,0.00026505,0,0,1e+05,1,0.89,-4.11,-1,-1
348.43,0.00028413,0,0,1e+05,1,0.9,-4.1,-1,-1
348.43,0.00033945,0,0,1e+05,1,0.91,-4.09,-1,-1
348.43,0.00039477,0,0,1e+05,1,0.92,-4.08,-1,-1
348.43,0.00045009,0,0,1e+05,1,0.93,-4.07,-1,-1
348.43,0.00050541,0,0,1e+05,1,0.94,-4.06,-1,-1
