arc_length,U:0,p,T
0,"-7,73E-13",100000,"348,43"
"0,01","-7,80E-13",100000,"348,43"
"0,02","-8,97E-13",100000,"348,43"
"0,03","-1,09E-12",100000,"348,43"
"0,04","-1,03E-12",100000,"348,43"
"0,05","-1,08E-12",100000,"348,43"
"0,06","-1,20E-12",100000,"348,43"
"0,07","-1,04E-12",100000,"348,43"
"0,08","-8,46E-13",100000,"348,43"
"0,09","-7,73E-13",100000,"348,43"
"0,1","-7,29E-13",100000,"348,43"
"0,11","-5,47E-13",100000,"348,43"
"0,12","-5,69E-13",100000,"348,43"
"0,13","-5,76E-13",100000,"348,43"
"0,14","-6,86E-13",100000,"348,43"
"0,15","-7,80E-13",100000,"348,43"
"0,16","-7,37E-13",100000,"348,43"
"0,17","-7,80E-13",100000,"348,43"
"0,18","-8,10E-13",100000,"348,43"
"0,19","-8,61E-13",100000,"348,43"
"0,2","-7,88E-13",100000,"348,43"
"0,21","-8,02E-13",100000,"348,43"
"0,22","-7,80E-13",100000,"348,43"
"0,23","-7,51E-13",100000,"348,43"
"0,24","-7,00E-13",100000,"348,43"
"0,25","-7,07E-13",100000,"348,43"
"0,26","-6,42E-13",100000,"348,43"
"0,27","-4,74E-13",100000,"348,43"
"0,28","-4,01E-13",100000,"348,43"
"0,29","-3,21E-13",100000,"348,43"
"0,3","-3,72E-13",100000,"348,43"
"0,31","-4,16E-13",100000,"348,43"
"0,32","-4,30E-13",100000,"348,43"
"0,33","-4,01E-13",100000,"348,43"
"0,34","-3,21E-13",100000,"348,43"
"0,35","-3,06E-13",100000,"348,43"
"0,36","-3,50E-13",100000,"348,43"
"0,37","-4,96E-13",100000,"348,43"
"0,38","-5,47E-13",100000,"348,43"
"0,39","-6,93E-13",100000,"348,43"
"0,4","-7,59E-13",100000,"348,43"
"0,41","-7,80E-13",100000,"348,43"
"0,42","-7,59E-13",100000,"348,43"
"0,43","-5,98E-13",100000,"348,43"
"0,44","-5,25E-13",100000,"348,43"
"0,45","-4,01E-13",100000,"348,43"
"0,46","-6,13E-13",100000,"348,43"
"0,47","-8,39E-13",100000,"348,43"
"0,48","-9,55E-13",100000,"348,43"
"0,49","-1,04E-12",100000,"348,43"
"0,5","-1,13E-12",100000,"348,43"
"0,51","-1,04E-12",100000,"348,43"
"0,52","-8,39E-13",100000,"348,43"
"0,53","-7,59E-13",100000,"348,43"
"0,54","-6,20E-13",100000,"348,43"
"0,55","-6,78E-13",100000,"348,43"
"0,56","-6,93E-13",100000,"348,43"
"0,57","-7,22E-13",100000,"348,43"
"0,58","-8,83E-13",100000,"348,43"
"0,59","-9,04E-13",100000,"348,43"
"0,6","-9,85E-13",100000,"348,43"
"0,61","-9,92E-13",100000,"348,43"
"0,62","-1,13E-12",100000,"348,43"
"0,63","-1,08E-12",100000,"348,43"
"0,64","-1,01E-12",100000,"348,43"
"0,65","-8,97E-13",100000,"348,43"
"0,66","-9,12E-13",100000,"348,43"
"0,67","-1,06E-12",100000,"348,43"
"0,68","-1,09E-12",100000,"348,43"
"0,69","-1,09E-12",100000,"348,43"
"0,7","-7,80E-13",100000,"348,43"
"0,71","-8,10E-13",100000,"348,43"
"0,72","-8,68E-13",100000,"348,43"
"0,73","-7,37E-13",100000,"348,43"
"0,74","-6,93E-13",100000,"348,43"
"0,75","-6,05E-13",100000,"348,43"
"0,76","-5,47E-13",100000,"348,43"
"0,77","-5,98E-13",100000,"348,43"
"0,78","-7,44E-13",100000,"348,43"
"0,79","-7,88E-13",100000,"348,43"
"0,8","-9,04E-13",100000,"348,43"
"0,81","-8,31E-13",100000,"348,43"
"0,82","-6,93E-13",100000,"348,43"
"0,83","-8,97E-13",100000,"348,43"
"0,84","-9,70E-13",100000,"348,43"
"0,85","-1,07E-12",100000,"348,43"
"0,86","-1,05E-12",100000,"348,43"
"0,87","-9,26E-13",100000,"348,43"
"0,88","-8,61E-13",100000,"348,43"
"0,89","-9,19E-13",100000,"348,43"
"0,9","-1,08E-12",100000,"348,43"
"0,91","-1,25E-12",100000,"348,43"
"0,92","-1,57E-12",100000,"348,43"
"0,93","-1,80E-12",100000,"348,43"
"0,94","-2,01E-12",100000,"348,43"
"0,95","-1,88E-12",100000,"348,43"
"0,96","-2,02E-12",100000,"348,43"
"0,97","-2,17E-12",100000,"348,43"
"0,98","-2,25E-12",100000,"348,43"
"0,99","-2,42E-12",100000,"348,43"
1,"-2,36E-12",100000,"348,43"
"1,01","-2,47E-12",100000,"348,43"
"1,02","-2,52E-12",100000,"348,43"
"1,03","-2,46E-12",100000,"348,43"
"1,04","-2,41E-12",100000,"348,43"
"1,05","-2,34E-12",100000,"348,43"
"1,06","-2,20E-12",100000,"348,43"
"1,07","-2,10E-12",100000,"348,43"
"1,08","-2,03E-12",100000,"348,43"
"1,09","-2,02E-12",100000,"348,43"
"1,1","-2,09E-12",100000,"348,43"
"1,11","-2,12E-12",100000,"348,43"
"1,12","-2,17E-12",100000,"348,43"
"1,13","-2,10E-12",100000,"348,43"
"1,14","-2,10E-12",100000,"348,43"
"1,15","-2,21E-12",100000,"348,43"
"1,16","-2,24E-12",100000,"348,43"
"1,17","-2,28E-12",100000,"348,43"
"1,18","-2,23E-12",100000,"348,43"
"1,19","-2,33E-12",100000,"348,43"
"1,2","-2,26E-12",100000,"348,43"
"1,21","-2,27E-12",100000,"348,43"
"1,22","-2,22E-12",100000,"348,43"
"1,23","-2,20E-12",100000,"348,43"
"1,24","-2,35E-12",100000,"348,43"
"1,25","-2,43E-12",100000,"348,43"
"1,26","-2,42E-12",100000,"348,43"
"1,27","-2,50E-12",100000,"348,43"
"1,28","-2,51E-12",100000,"348,43"
"1,29","-2,39E-12",100000,"348,43"
"1,3","-2,36E-12",100000,"348,43"
"1,31","-2,28E-12",100000,"348,43"
"1,32","-2,20E-12",100000,"348,43"
"1,33","-2,12E-12",100000,"348,43"
"1,34","-1,99E-12",100000,"348,43"
"1,35","-2,02E-12",100000,"348,43"
"1,36","-1,88E-12",100000,"348,43"
