T,U:0,p
"348,43","-4,35E-12",100000
"348,43","-4,43E-12",100000
"348,43","-5,45E-12",100000
"348,43","-7,23E-12",100000
"348,43","-7,11E-12",100000
"348,43","-6,13E-12",100000
"348,43","-3,87E-12",100000
"348,43","-1,88E-12",100000
"348,43","-1,70E-12",100000
"348,43","-1,91E-12",100000
"348,43","-2,63E-12",100000
"348,43","-3,44E-12",100000
"348,43","-2,78E-12",100000
"348,43","-2,04E-12",100000
"348,43","-2,82E-12",100000
"348,43","-3,82E-12",100000
"348,43","-3,48E-12",100000
"348,43","-3,40E-12",100000
"348,43","-1,95E-12",100000
"348,43","-6,27E-13",100000
"348,43","-1,08E-12",100000
"348,43","-2,45E-12",100000
"348,43","-1,09E-12",100000
"348,43","-1,93E-13",100000
"348,43","1,14E-12",100000
"348,43","1,20E-12",100000
"348,43","1,30E-12",100000
"348,43","1,31E-12",100000
"348,43","2,87E-13",100000
"348,43","7,21E-13",100000
"348,43","-5,28E-14",100000
"348,43","-6,48E-13",100000
"348,43","7,16E-13",100000
"348,43","1,00E-12",100000
"348,43","1,81E-13",100000
"348,43","3,98E-14",100000
"348,43","1,46E-12",100000
"348,43","1,31E-12",100000
"348,43","1,27E-12",100000
"348,43","2,25E-12",100000
"348,43","-3,92E-13",100000
"348,43","-5,14E-13",100000
"348,43","2,62E-12",100000
"348,43","4,98E-12",100000
"348,43","4,37E-12",100000
"348,43","3,04E-12",100000
"348,43","2,75E-12",100000
"348,43","3,62E-12",100000
"348,43","3,20E-12",100000
"348,43","4,04E-12",100000
"348,43","4,27E-12",100000
"348,43","4,42E-12",100000
"348,43","5,99E-12",100000
"348,43","6,55E-12",100000
"348,43","6,52E-12",100000
"348,43","6,46E-12",100000
"348,43","6,99E-12",100000
"348,43","5,81E-12",100000
"348,43","6,85E-12",100000
"348,43","7,11E-12",100000
"348,43","6,18E-12",100000
"348,43","6,75E-12",100000
"348,43","6,28E-12",100000
"348,43","6,56E-12",100000
"348,43","6,56E-12",100000
"348,43","6,02E-12",100000
"348,43","6,45E-12",100000
"348,43","7,27E-12",100000
"348,43","7,24E-12",100000
"348,43","7,80E-12",100000
"348,43","7,54E-12",100000
"348,43","6,29E-12",100000
"348,43","6,61E-12",100000
"348,43","8,14E-12",100000
"348,43","8,28E-12",100000
"348,43","8,43E-12",100000
"348,43","8,63E-12",100000
"348,43","8,87E-12",100000
"348,43","9,04E-12",100000
"348,43","9,24E-12",100000
"348,43","9,18E-12",100000
"348,43","9,78E-12",100000
"348,43","8,80E-12",100000
"348,43","8,72E-12",100000
"348,43","8,85E-12",100000
"348,43","9,20E-12",100000
"348,43","9,41E-12",100000
"348,43","9,49E-12",100000
"348,43","1,01E-11",100000
"348,43","1,05E-11",100000
"348,43","1,09E-11",100000
"348,43","1,16E-11",100000
"348,43","1,11E-11",100000
"348,43","1,20E-11",100000
"348,43","1,20E-11",100000
"348,43","1,22E-11",100000
"348,43","1,21E-11",100000
"348,43","1,25E-11",100000
"348,43","1,25E-11",100000
"348,43","1,05E-11",100000
"348,43","1,06E-11",100000
"348,43","1,19E-11",100000
"348,43","1,38E-11",100000
"348,43","1,44E-11",100000
"348,43","1,27E-11",100000
"348,43","1,24E-11",100000
"348,43","1,32E-11",100000
"348,43","1,37E-11",100000
"348,43","1,24E-11",100000
"348,43","1,22E-11",100000
"348,43","1,40E-11",100000
"348,43","1,37E-11",100000
"348,43","1,39E-11",100000
"348,43","1,18E-11",100000
"348,43","1,12E-11",100000
"348,43","1,25E-11",100000
"348,43","1,38E-11",100000
"348,43","1,39E-11",100000
"348,43","1,26E-11",100000
"348,43","1,11E-11",100000
"348,43","1,22E-11",100000
"348,43","1,32E-11",100000
"348,43","1,29E-11",100000
"348,43","1,42E-11",100000
"348,43","1,47E-11",100000
"348,43","1,46E-11",100000
"348,43","1,45E-11",100000
